probe,delta_beta,gene,region,promoter,abs10
cgSYN000442,-0.027420286392199456,TAP1,TSS200,True,False
cgSYN000443,0.004260506931349661,TAP1,Body,False,False
cgSYN000444,0.033924087870947806,TAP1,Body,False,False
cgSYN000445,0.05316517959373357,TAP1,TSS1500,True,False
cgSYN000446,0.04610033475045583,TAP1,TSS1500,True,False
cgSYN000447,-0.030928373706012757,TAP1,Body,False,False
cgSYN000448,-0.021393055736664612,LAPTM5,Body,False,False
cgSYN000449,-0.042142023762946845,LAPTM5,Body,False,False
cgSYN000450,0.0031161895957471097,LAPTM5,TSS1500,True,False
cgSYN000451,0.029302522361074557,LAPTM5,Body,False,False
cgSYN000452,0.029681662372269324,LAPTM5,TSS200,True,False
cgSYN000453,-0.015443784174574038,LAPTM5,Body,False,False
cgSYN000454,0.011835742754285061,LAPTM5,Body,False,False
cgSYN000455,-0.030572576383954386,LAPTM5,TSS1500,True,False
cgSYN000456,-0.04109548587481582,C1QA,TSS1500,True,False
cgSYN000457,0.051146632900524736,C1QA,Body,False,False
cgSYN000458,0.012490301642115148,C1QA,Body,False,False
cgSYN000459,-0.025756170481027407,C1QA,Body,False,False
cgSYN000460,0.061915917888951955,C1QA,Body,False,False
cgSYN000461,-0.020235758555090966,C1QA,Body,False,False
cgSYN000462,0.052279073261022824,C1QA,5'UTR,True,False
cgSYN000463,-0.06123260469195807,C1QA,Body,False,False
